================ Training Loss (Fri Jun  2 15:00:10 2023) ================
(epoch: 38, iters: 40, time: 0.199, data: 0.002) D_A: 0.375 G_A: 0.838 cycle_A: 1.057 idt_A: 1.274 D_B: 0.078 G_B: 0.382 cycle_B: 2.442 idt_B: 0.318 
(epoch: 39, iters: 60, time: 0.199, data: 0.001) D_A: 0.230 G_A: 0.189 cycle_A: 2.277 idt_A: 1.278 D_B: 0.204 G_B: 0.534 cycle_B: 3.102 idt_B: 0.515 
(epoch: 40, iters: 80, time: 0.634, data: 0.002) D_A: 0.230 G_A: 0.258 cycle_A: 1.822 idt_A: 0.531 D_B: 0.212 G_B: 0.613 cycle_B: 0.749 idt_B: 0.839 
(epoch: 42, iters: 20, time: 0.199, data: 0.403) D_A: 0.465 G_A: 0.888 cycle_A: 2.312 idt_A: 0.975 D_B: 0.315 G_B: 0.960 cycle_B: 1.555 idt_B: 1.113 
(epoch: 43, iters: 40, time: 0.199, data: 0.002) D_A: 0.079 G_A: 0.258 cycle_A: 2.334 idt_A: 0.758 D_B: 0.170 G_B: 0.556 cycle_B: 1.771 idt_B: 1.903 
(epoch: 44, iters: 60, time: 0.198, data: 0.002) D_A: 0.179 G_A: 0.714 cycle_A: 1.590 idt_A: 0.489 D_B: 0.194 G_B: 0.412 cycle_B: 0.932 idt_B: 0.487 
(epoch: 45, iters: 80, time: 0.659, data: 0.001) D_A: 0.076 G_A: 1.092 cycle_A: 2.394 idt_A: 1.294 D_B: 0.190 G_B: 0.272 cycle_B: 3.643 idt_B: 1.249 
(epoch: 47, iters: 20, time: 0.199, data: 0.488) D_A: 0.238 G_A: 0.668 cycle_A: 2.147 idt_A: 0.584 D_B: 0.246 G_B: 0.204 cycle_B: 1.088 idt_B: 1.369 
(epoch: 48, iters: 40, time: 0.199, data: 0.001) D_A: 0.263 G_A: 0.348 cycle_A: 1.666 idt_A: 0.998 D_B: 0.214 G_B: 0.392 cycle_B: 1.848 idt_B: 0.656 
(epoch: 49, iters: 60, time: 0.199, data: 0.002) D_A: 0.246 G_A: 0.393 cycle_A: 1.235 idt_A: 1.213 D_B: 0.365 G_B: 0.268 cycle_B: 2.016 idt_B: 0.662 
(epoch: 50, iters: 80, time: 0.725, data: 0.002) D_A: 0.114 G_A: 0.424 cycle_A: 2.045 idt_A: 1.792 D_B: 0.197 G_B: 0.909 cycle_B: 2.680 idt_B: 0.844 
